	[Abort List]
	OID	CID	Delay	Abort
[1] 	111	0	0	6
[2] 	115	0	0	6
[3] 	116	0	0	6
[4] 	119	0	0	6
[5] 	303	0	0	6
[6] 	306	0	0	6
[7] 	308	0	0	6
[8] 	305	0	0	10
[9] 	304	0	0	11
[10] 	221	0	0	50
[11] 	222	0	0	50
[12] 	223	0	0	50
[13] 	254	0	0	50
[14] 	255	0	0	150
[15] 	210	0	0	160
[16] 	211	0	0	160
[17] 	212	0	0	160
[18] 	213	0	0	160
[19] 	214	0	0	160
[20] 	215	0	0	160
[21] 	216	0	0	160
[22] 	266	0	0	160
[23] 	267	0	0	160
[24] 	268	0	0	160
[25] 	269	0	0	160
[26] 	224	0	0	161
[27] 	225	0	0	161
[28] 	232	0	0	165
[29] 	233	0	0	165
[30] 	234	0	0	165
[31] 	235	0	0	167
[32] 	245	0	0	173
[33] 	246	0	0	173
[34] 	247	0	0	173
[35] 	248	0	0	173
[36] 	249	0	0	176
[37] 	122	0	0	250
[38] 	121	1	500	501
[39] 	301	1	498	501
[40] 	312	1	496	501
[41] 	104	0	0	601
[42] 	105	0	0	601
[43] 	106	0	0	601
[44] 	107	0	0	603
[45] 	108	0	0	604
[46] 	102	1	12	613
[47] 	103	1	12	613
	[Timeout List]
	OID	CID	Delay	Departure
[1] 	101 	1 	6 	613
[Total Delay]
1524 min.
[Failure Percentage]
92.31%
